id_venta,id_cliente,id_vehiculo,id_sucursal,id_fecha,cantidad_dias,monto_total,descuento,metodo_pago
115,40,17,6,443,24,3368,580,Efectivo
116,71,11,2,711,,14768,737,Efectivo
,29,2,4,659,25,16792,855,Efectivo
118,74,7,6,436,20,17054,616,Transferencia
119,41,2,1,352,22,11619,592,Efectivo
120,98,16,6,495,1,4707,436,Transferencia
121,79,11,5,12,29,15043,32,Efectivo
122,8,,4,482,26,11112,807,Tarjeta
123,66,,2,446,16,12060,873,Tarjeta
124,9,8,4,605,9,4074,,Efectivo
125,38,20,,58,8,9584,136,Transferencia
126,56,6,5,359,17,18599,406,Transferencia
127,99,5,6,378,4,16779,463,Tarjeta
128,37,4,2,571,19,3612,571,Efectivo
129,17,8,3,205,4,2350,681,Efectivo
130,10,6,4,512,20,19731,549,Efectivo
131,10,4,1,323,7,4959,464,Efectivo
132,38,18,,224,4,1490,795,Tarjeta
133,1,17,2,324,29,2169,736,Transferencia
134,16,18,,,28,19528,799,Transferencia
135,11,11,2,29,23,,223,Tarjeta
,11,4,,647,11,6867,636,Efectivo
137,99,12,1,158,19,14080,950,Transferencia
138,10,1,6,261,14,5002,620,Tarjeta
139,77,12,3,422,28,9516,342,Tarjeta
140,85,9,,151,26,6979,922,Tarjeta
141,27,3,6,345,4,17566,886,Efectivo
142,74,10,5,243,13,,500,Tarjeta
143,42,16,,28,21,14374,676,Efectivo
144,18,15,1,199,25,14662,828,Tarjeta
145,,17,4,461,,,494,Tarjeta
146,92,17,4,120,22,17212,654,Tarjeta
147,2,10,5,186,8,1560,598,Transferencia
148,45,12,2,42,19,,877,Transferencia
149,51,3,3,,7,14100,338,Tarjeta
150,22,,5,23,18,11874,,Transferencia
151,87,4,1,77,14,3728,801,
152,35,4,4,539,25,14172,208,Transferencia
153,98,3,1,722,3,16910,226,Tarjeta
154,95,,6,382,29,14385,372,Tarjeta
155,78,3,6,559,28,13958,499,Transferencia
156,42,9,3,353,,10772,854,Transferencia
157,16,11,2,471,7,9365,490,Efectivo
158,88,,1,285,17,3654,7,Tarjeta
159,92,,2,654,26,19545,130,Efectivo
160,83,12,3,434,27,11114,909,Tarjeta
,7,9,5,477,22,5072,246,Efectivo
162,94,10,6,411,,12976,395,Efectivo
,67,6,1,571,27,14158,242,Efectivo
164,62,19,6,422,28,17444,,Tarjeta
,45,,2,350,7,14953,23,Tarjeta
166,73,9,5,192,14,6717,600,Efectivo
167,70,6,1,227,2,7949,738,Transferencia
,,8,,396,12,1288,170,Efectivo
169,96,10,5,421,22,8319,266,Tarjeta
170,18,,1,108,23,19706,412,Efectivo
171,47,2,5,717,1,11497,742,Tarjeta
172,68,11,4,586,25,9094,62,Tarjeta
173,33,5,3,469,4,4311,233,Tarjeta
,82,6,6,466,21,3350,559,Efectivo
175,8,10,1,,27,3688,914,Transferencia
176,96,12,6,154,26,,350,Tarjeta
177,33,14,4,616,4,16766,199,Efectivo
178,41,18,6,605,17,4553,160,Tarjeta
179,13,14,4,689,18,7345,356,Efectivo
,15,13,6,,2,5450,647,Tarjeta
181,31,16,4,304,4,14338,100,Tarjeta
182,14,16,3,166,4,11971,291,Efectivo
183,8,18,2,,,16672,746,Transferencia
184,7,10,1,491,21,10231,610,Tarjeta
185,24,4,6,,5,13110,257,Transferencia
186,24,10,3,635,8,14113,480,Transferencia
187,85,16,6,573,14,18603,403,
188,25,17,5,384,19,13020,,Tarjeta
189,20,12,2,127,2,5211,,Tarjeta
190,8,8,3,51,18,19743,539,Tarjeta
191,59,15,1,103,24,1071,905,Efectivo
192,48,12,3,339,2,6689,838,Tarjeta
193,64,6,6,121,18,1688,353,
194,45,6,4,292,13,3365,658,Tarjeta
195,79,6,3,242,14,6041,528,Tarjeta
196,100,5,,,11,19348,989,Efectivo
197,14,15,4,629,11,14970,717,Tarjeta
,54,20,1,704,10,1569,450,Efectivo
,26,18,1,306,28,4100,387,Transferencia
200,38,4,4,615,1,14364,111,Tarjeta
201,69,17,5,238,,3130,397,Transferencia
202,28,11,2,59,13,5462,258,Tarjeta
203,100,5,3,503,27,,590,
204,36,6,4,55,15,14589,77,Tarjeta
205,7,5,1,132,9,2041,23,Tarjeta
206,56,,5,230,18,7576,704,Tarjeta
207,62,13,5,120,16,13879,737,Efectivo
208,34,16,2,166,21,8566,325,Transferencia
209,96,11,2,526,29,10993,4,Transferencia
210,99,13,3,460,22,11879,56,
211,7,7,5,270,13,6025,541,Tarjeta
212,11,20,1,265,20,17365,443,Efectivo
213,22,1,6,507,26,8864,102,Transferencia
214,54,20,,12,15,5342,215,Efectivo
215,59,16,3,,29,5508,556,Transferencia
216,10,3,4,498,4,15728,503,Efectivo
217,98,20,4,505,19,19248,413,Efectivo
218,89,,5,92,1,3561,324,Transferencia
219,24,10,2,613,29,18945,262,Efectivo
220,43,6,3,327,15,13697,709,Tarjeta
221,42,9,6,697,16,7851,,Efectivo
222,95,7,2,229,3,11646,,Efectivo
223,92,20,4,122,,6364,188,Efectivo
224,76,16,5,114,25,7344,863,Efectivo
225,9,,5,583,8,17357,886,
226,9,3,,38,,9245,764,Transferencia
,33,15,5,19,1,6576,365,Tarjeta
228,75,9,3,519,14,4131,,Tarjeta
229,,6,1,147,18,18851,973,Efectivo
,38,20,3,318,26,1054,253,Efectivo
231,60,3,1,582,10,2774,,Tarjeta
232,44,6,5,368,12,16022,183,
233,20,5,,29,10,2593,346,Tarjeta
234,42,13,4,,21,,134,Efectivo
235,56,12,3,686,29,19640,171,Tarjeta
236,64,17,3,402,15,9268,576,Transferencia
237,93,4,5,650,7,11019,70,Transferencia
238,8,15,6,543,1,19434,231,Transferencia
239,46,,5,505,8,19598,607,Efectivo
240,25,7,2,,29,11463,570,Transferencia
241,63,,,445,18,19467,569,Efectivo
242,,7,6,213,,11746,544,Tarjeta
243,100,18,6,263,20,14591,300,Tarjeta
244,4,5,2,164,14,,341,Tarjeta
245,52,7,3,475,26,845,674,Transferencia
246,25,15,1,,25,3626,532,Efectivo
247,5,12,4,498,18,,245,Tarjeta
248,29,8,4,629,18,2646,546,Efectivo
249,37,12,4,352,7,12513,894,Transferencia
250,57,20,1,97,8,15193,795,Tarjeta
251,4,11,6,188,14,19592,491,Efectivo
252,82,18,5,490,23,10222,519,Efectivo
253,57,5,4,26,23,14257,818,Transferencia
254,47,8,3,173,13,1820,913,Efectivo
255,41,9,3,6,14,3160,24,Transferencia
256,64,,1,599,15,10568,539,
257,12,3,,687,21,10460,681,Tarjeta
258,18,3,1,489,,10950,542,Efectivo
259,70,13,1,334,23,11508,577,Tarjeta
260,60,4,6,383,14,786,743,Transferencia
261,35,15,4,151,12,13459,752,Tarjeta
262,46,5,6,550,13,4140,761,Transferencia
263,19,4,2,720,14,4302,,Transferencia
264,97,10,4,670,9,,654,Efectivo
265,2,,3,625,,10706,108,Efectivo
266,77,3,2,520,9,14131,612,Efectivo
267,29,8,4,56,8,6701,798,Transferencia
268,16,6,3,335,2,14685,434,Efectivo
269,23,19,3,254,1,14065,902,
270,79,20,1,618,6,18499,605,Transferencia
271,58,4,6,316,12,17537,,Tarjeta
272,8,19,4,509,21,6012,927,
273,,8,4,52,15,2345,346,Tarjeta
274,27,20,,,5,17383,600,Tarjeta
275,35,13,6,198,25,14676,592,Efectivo
276,25,13,2,701,4,5080,64,Efectivo
277,65,20,3,157,17,3142,940,Tarjeta
278,4,11,1,,27,18668,755,Efectivo
279,51,20,1,117,16,12070,319,
280,69,20,4,26,4,18238,179,Efectivo
281,,19,5,692,21,19148,,
282,44,12,3,,3,16292,982,Transferencia
283,44,15,6,79,30,3407,364,Tarjeta
284,63,1,6,660,22,12304,,Transferencia
285,53,1,2,41,22,15151,720,Tarjeta
286,36,,3,362,21,16182,360,Efectivo
287,62,16,5,38,19,8483,279,Efectivo
288,6,6,,,5,4979,325,Efectivo
289,37,14,4,237,19,4156,845,Efectivo
290,62,2,5,678,5,4874,204,Tarjeta
291,21,17,1,294,8,14449,937,Tarjeta
292,74,20,5,378,23,14680,693,Transferencia
293,32,5,1,341,15,6599,586,Transferencia
294,31,17,,478,2,,908,Transferencia
295,41,10,1,686,10,17397,118,Transferencia
296,80,12,4,288,7,7060,978,Efectivo
297,43,1,5,64,1,10586,241,Transferencia
298,41,2,6,444,3,14748,948,Transferencia
299,55,2,5,682,9,19101,985,Tarjeta
300,80,2,3,485,17,3921,921,Efectivo
301,51,18,,103,18,,777,Efectivo
302,61,16,6,637,21,15188,857,Efectivo
303,4,16,2,724,11,19121,817,Tarjeta
304,,16,3,62,21,14018,958,Tarjeta
,71,20,6,708,19,7496,741,Efectivo
306,81,17,5,642,2,11089,744,Tarjeta
307,63,8,3,301,26,9916,867,Transferencia
308,87,3,3,104,26,11230,217,Efectivo
309,90,12,6,151,23,4567,646,Tarjeta
310,60,8,2,716,24,10911,439,Transferencia
311,38,7,3,566,10,18419,96,Transferencia
312,61,4,5,555,27,7028,446,Transferencia
313,40,6,1,541,26,11005,660,Transferencia
314,90,18,2,206,14,15104,20,Tarjeta
315,98,14,,709,4,16941,331,Tarjeta
316,75,6,1,78,8,13240,687,
317,35,2,6,280,6,13835,547,Transferencia
318,4,2,6,117,11,5827,296,Tarjeta
319,68,19,6,290,30,11885,541,Tarjeta
,88,10,1,89,22,643,708,Efectivo
321,88,1,5,342,3,15252,231,Efectivo
322,13,3,,526,11,4835,220,Tarjeta
323,17,20,1,362,9,12086,247,Efectivo
324,70,,1,371,26,9639,137,Efectivo
325,45,2,1,621,12,11320,518,Efectivo
326,3,3,3,634,1,19793,806,Efectivo
327,6,20,3,505,29,1481,428,Tarjeta
328,95,13,4,145,12,13505,194,Tarjeta
329,33,16,1,398,29,17371,831,Efectivo
330,82,17,3,208,24,18412,473,Tarjeta
,55,16,3,198,4,3041,913,Efectivo
332,45,12,3,89,22,17573,988,Efectivo
333,18,10,1,398,7,10236,211,Efectivo
334,15,13,6,35,3,12866,10,Efectivo
335,57,1,4,89,29,16426,486,Efectivo
336,26,19,2,153,16,4308,716,Tarjeta
337,31,6,5,286,25,9076,542,Tarjeta
338,67,15,1,149,21,14532,331,Transferencia
339,50,18,5,12,21,6160,251,Transferencia
340,74,18,2,404,28,14864,797,
341,84,9,2,532,24,17514,795,Tarjeta
342,24,16,1,,18,5398,,Efectivo
343,34,12,2,720,16,15514,118,Efectivo
344,10,18,6,573,,11315,880,Efectivo
345,77,18,3,484,26,4101,,Transferencia
346,22,17,6,607,10,6205,693,Efectivo
347,80,13,4,707,19,4227,977,Transferencia
348,70,15,4,281,16,5015,342,Transferencia
349,12,16,5,55,5,4595,89,Tarjeta
350,13,8,2,600,2,18048,816,Efectivo
351,30,19,6,88,25,8505,570,Efectivo
352,67,13,4,134,24,15870,318,Efectivo
,81,12,5,124,25,6751,507,Transferencia
,64,13,,391,14,3795,412,
355,38,12,6,510,6,11972,229,Efectivo
356,40,2,5,273,29,3119,246,Transferencia
,34,5,,42,22,6044,407,Transferencia
358,11,2,6,45,,5004,3,Tarjeta
359,22,17,,530,26,9957,823,Transferencia
360,77,3,2,352,21,9276,887,Transferencia
361,14,13,6,75,27,13289,375,Tarjeta
362,89,14,5,78,20,17163,751,Transferencia
363,3,2,6,95,5,11758,294,Transferencia
364,71,2,,59,5,9128,877,
365,67,10,,716,18,19118,303,Tarjeta
366,43,10,6,92,13,13220,410,Transferencia
367,69,7,6,587,8,17183,649,Efectivo
368,37,14,3,,15,11164,68,Efectivo
369,40,6,1,337,21,12499,719,Transferencia
370,67,7,2,201,25,8244,260,Efectivo
371,98,12,3,394,4,838,775,
,24,8,2,731,22,14306,157,Efectivo
373,61,15,2,463,6,1997,188,Tarjeta
374,64,3,3,585,15,7499,195,Tarjeta
375,27,8,5,388,4,17675,333,Efectivo
376,95,1,5,673,23,17998,422,Tarjeta
377,44,15,2,154,12,6670,239,Transferencia
378,9,18,2,,7,5126,777,Efectivo
,21,12,1,438,9,9723,890,Tarjeta
380,96,17,6,180,,16743,717,Transferencia
381,33,11,2,401,30,3067,851,Transferencia
382,43,9,3,604,27,14654,113,Tarjeta
383,,2,1,277,21,3478,337,Transferencia
384,88,16,5,112,6,1451,941,Efectivo
385,87,,6,101,14,15362,730,Transferencia
386,42,14,6,,15,1207,512,Tarjeta
387,22,17,3,197,27,10097,856,Transferencia
388,91,11,4,,10,5227,144,
389,96,5,3,566,19,,339,Transferencia
390,15,6,,236,12,12035,171,Tarjeta
391,59,8,2,180,16,13590,,Tarjeta
392,6,10,4,707,6,19231,640,Tarjeta
393,75,7,1,451,29,2553,714,Efectivo
394,67,6,4,254,5,11795,181,Transferencia
395,22,6,1,184,15,16369,265,Transferencia
396,20,2,2,292,11,19022,194,Transferencia
397,51,1,2,470,27,14182,849,
398,33,13,5,312,29,17670,260,Tarjeta
399,48,20,5,231,25,10720,,Efectivo
400,78,20,1,223,,5181,417,Transferencia
401,32,2,4,721,16,10515,291,Tarjeta
402,84,7,4,447,15,1356,526,Transferencia
403,98,20,6,247,14,5160,467,Efectivo
404,93,12,5,220,28,10889,324,Tarjeta
405,46,2,1,341,11,8983,39,Transferencia
406,19,17,,218,19,10837,225,Efectivo
407,10,,2,177,8,10893,95,Tarjeta
408,35,3,6,685,21,18198,916,Efectivo
409,55,8,3,479,8,2540,954,Tarjeta
410,92,18,1,357,13,697,,Efectivo
411,51,13,4,98,24,628,212,Tarjeta
412,44,3,3,85,28,14235,,Tarjeta
413,55,14,1,358,,,61,Efectivo
414,69,11,2,480,19,12226,36,Transferencia
415,11,2,1,180,7,19715,230,Efectivo
416,77,7,4,642,3,14971,,Efectivo
417,19,11,2,651,30,13815,935,Transferencia
418,51,1,6,451,15,,448,Transferencia
419,15,11,3,599,,18254,471,Transferencia
420,91,13,1,54,20,16623,238,Tarjeta
421,36,20,4,407,5,18351,102,
422,67,9,3,275,7,6858,859,Tarjeta
423,30,6,4,662,9,9846,559,Tarjeta
424,73,19,5,398,30,11254,212,Transferencia
425,79,14,2,419,27,944,93,Transferencia
426,14,2,6,415,30,4206,335,
427,82,,5,81,16,,737,Efectivo
428,36,19,2,543,16,10957,892,Tarjeta
429,,13,1,327,6,18626,935,Efectivo
430,,14,2,221,22,11325,341,Transferencia
431,,17,,231,3,19092,,Tarjeta
432,98,13,4,487,8,19347,201,Transferencia
433,53,18,4,,16,5106,810,Efectivo
434,50,3,3,474,26,15627,303,Transferencia
435,39,12,3,17,27,,49,Tarjeta
436,3,19,6,381,26,13844,62,Tarjeta
437,65,6,2,113,17,9349,668,Transferencia
438,,8,2,107,24,6015,351,Transferencia
439,28,11,4,83,1,4348,479,Tarjeta
,23,19,5,462,28,7676,656,
441,23,13,5,37,9,6286,440,Efectivo
442,32,,4,90,19,6278,826,Tarjeta
443,42,16,2,,30,5687,416,Efectivo
444,83,5,3,600,15,12491,340,Transferencia
445,93,12,5,360,7,2297,43,Transferencia
446,27,4,,514,14,16621,741,Efectivo
,2,20,1,63,22,8499,692,Tarjeta
448,7,9,2,332,16,14925,746,Tarjeta
449,25,17,5,333,27,13094,196,Transferencia
450,42,4,3,215,20,11313,,Efectivo
451,96,12,2,470,22,1673,908,Transferencia
452,23,5,6,342,8,11389,237,Transferencia
453,33,20,3,274,,766,994,Tarjeta
454,75,17,4,480,30,12620,651,Tarjeta
455,18,9,,497,27,15792,400,Tarjeta
456,94,12,5,428,17,4907,342,Efectivo
457,62,13,4,502,13,1857,996,Efectivo
458,12,11,6,277,17,17699,534,Transferencia
459,63,,2,,26,13168,702,Efectivo
460,77,,3,264,25,12553,969,Tarjeta
,72,13,4,613,8,15426,930,Tarjeta
,89,2,4,348,23,8141,822,Efectivo
463,94,,1,708,12,11127,812,Transferencia
464,68,11,1,87,29,8316,172,Transferencia
465,11,2,6,537,28,,366,
,84,10,1,726,5,13046,409,Tarjeta
467,89,19,5,486,9,14983,426,Tarjeta
468,56,14,5,279,10,10487,660,Efectivo
469,72,8,2,632,11,19398,665,Efectivo
470,39,12,6,448,12,9114,970,Tarjeta
471,13,16,3,628,17,13973,484,
472,60,14,5,193,18,8481,464,Efectivo
473,85,8,3,173,,10554,784,Tarjeta
474,12,14,1,217,2,19075,948,Efectivo
475,23,15,4,34,5,9547,979,Tarjeta
476,65,16,4,344,16,17737,345,Transferencia
477,76,13,6,538,26,647,299,Tarjeta
478,7,1,6,208,8,8384,690,Transferencia
479,61,18,4,258,1,18026,896,Efectivo
480,4,17,4,150,20,910,715,Transferencia
481,52,15,6,51,1,16702,954,Tarjeta
482,58,13,,431,17,15004,954,Efectivo
483,98,11,5,572,28,5665,987,Efectivo
484,13,9,1,205,9,7446,260,Transferencia
485,46,14,1,669,6,2966,498,Efectivo
486,27,13,,310,,13407,454,Transferencia
487,64,10,6,669,24,13318,908,Efectivo
488,34,13,2,562,17,1092,790,Transferencia
489,66,5,1,646,5,9655,436,Transferencia
490,68,14,1,453,17,11444,756,Transferencia
491,3,3,6,195,12,5800,870,Efectivo
492,51,,4,536,,3847,,Transferencia
493,95,,1,,28,2526,934,Tarjeta
494,70,,3,97,5,16265,367,Transferencia
495,81,6,4,82,30,2850,170,Transferencia
496,28,18,5,483,15,2331,600,Transferencia
497,85,7,3,550,24,3699,463,Tarjeta
498,85,13,6,222,20,17065,393,
499,87,1,2,323,29,10135,767,Transferencia
500,93,17,1,105,9,11957,,Efectivo
